緯度,経度,color,color2
36.79161664,137.3908158,0,2
36.8317952,137.4178392,3,2
36.80652288,137.4036747,3,2
36.82135931,137.4124409,3,2
36.82397918,137.4182906,4,3
36.84082042,137.4252242,3,2
36.80632606,137.4010387,2,3
36.83564159,137.4084706,2,3
36.83447872,137.4192349,4,3
36.83623073,137.4203995,1,3
36.80624751,137.4065035,0,0
36.79178671,137.4072573,4,3
36.82678518,137.4240629,2,3
36.83975519,137.4221658,3,2
36.80772262,137.4042817,3,2
36.81881538,137.399735,1,3
36.82645498,137.407726,1,2
36.82460608,137.3941128,0,0
36.83016679,137.4075031,1,3
36.82014431,137.4119471,3,2
36.80139618,137.4338749,2,3
36.8118192,137.413387,4,3
36.81810369,137.4075343,3,2
36.85020389,137.4225444,3,2
36.83458581,137.4191332,0,3
36.83375491,137.4194797,0,3
36.83111068,137.4009855,3,2
36.82880491,137.4163522,3,2
36.84637158,137.4339745,3,2
36.82541446,137.4087323,0,3
36.83086115,137.4192569,4,3
36.81855132,137.4111849,3,2
36.81679793,137.4135303,0,2
36.83259041,137.4182899,3,2
36.83438658,137.4187629,0,2
36.82326423,137.4136202,3,2
36.83443103,137.4192348,4,3
36.80713326,137.4038768,3,2
36.84986464,137.4220282,0,2
36.82882095,137.4164852,0,2
36.8284943,137.4098528,1,3
36.80139816,137.3995254,3,2
36.81793234,137.4075284,3,2
36.81200898,137.3986883,0,3
36.82785986,137.4254458,2,3
36.79898665,137.3976466,3,2
36.82195572,137.4128684,3,2
36.81938197,137.3944733,2,3
36.81251882,137.4138562,0,3
36.83105105,137.4132161,2,3
36.82790236,137.41102,1,3
36.82963928,137.4284316,2,3
36.84059087,137.4238541,3,2
36.82427085,137.4179863,3,2
36.82117518,137.4065621,3,2
36.83710081,137.4205249,3,2
36.80388425,137.4052947,2,3
36.84144742,137.430128,0,2
36.82059021,137.4032136,3,2
36.83528063,137.4082005,2,3
36.84720037,137.4255881,0,3
36.80673357,137.4035179,3,2
36.82330225,137.4079538,2,3
36.8230681,137.408513,3,2
36.81311777,137.4053985,1,3
36.83391569,137.4074035,2,3
36.82427426,137.4184843,4,3
36.81476386,137.3985942,3,2
36.8212142,137.4065185,3,2
36.80964218,137.4107837,4,3
36.79565749,137.4299464,1,3
36.8141549,137.4089441,3,2
36.81779327,137.3988532,3,2
36.85057059,137.42305,3,2
36.83066721,137.4012666,0,3
36.79649255,137.3957375,3,2
36.83313314,137.4144325,2,3
36.80842334,137.4048074,3,2
36.85255038,137.4213334,2,3
36.83772085,137.4363783,2,3
36.82014134,137.4118643,3,2
36.82400915,137.4052629,1,3
36.82381254,137.4066464,0,2
36.8239473,137.4051603,1,3
36.83449026,137.419212,4,3
36.81836747,137.4162869,1,3
36.83378698,137.4193513,4,3
36.8359802,137.4528851,2,3
36.83785987,137.4208459,3,2
36.80641651,137.4040281,3,2
36.80414634,137.4015983,3,2
36.81389576,137.4087522,3,2
36.82390792,137.4182451,0,3
